dataset,n,d,method,k_selected,knn_K,knn_overlap,trustworthiness,k_pai_scale
wine,178,13,pai,3,30,0.4355805243445693,0.7987661649353403,2.449438202247191
wine,178,13,pai,3,50,0.5353932584269663,0.8005480953685942,2.449438202247191
wine,178,13,pai,4,3,0.1853932584269663,0.8391786278712303,2.449438202247191
wine,178,13,pai,4,5,0.24269662921348317,0.835941837409121,2.449438202247191
wine,178,13,pai,4,10,0.31741573033707865,0.8329783923941227,2.449438202247191
wine,178,13,pai,4,20,0.4143258426966292,0.8304170634164921,2.449438202247191
wine,178,13,pai,4,30,0.48164794007490636,0.8310946222881775,2.449438202247191
wine,178,13,pai,4,50,0.5674157303370787,0.8265804329953412,2.449438202247191
wine,178,13,pai,5,3,0.23220973782771534,0.8826394752224459,2.449438202247191
wine,178,13,pai,5,5,0.2943820224719101,0.8821744877726372,2.449438202247191
wine,178,13,pai,5,10,0.3747191011235955,0.8792808988764045,2.449438202247191
wine,178,13,pai,5,20,0.5,0.8797543325080937,2.449438202247191
wine,178,13,pai,5,30,0.5795880149812734,0.8779817680729277,2.449438202247191
wine,178,13,pai,5,50,0.6648314606741573,0.8705322006029049,2.449438202247191
wine,178,13,pai,6,3,0.2340823970037453,0.8985624905284579,2.449438202247191
wine,178,13,pai,6,5,0.32359550561797756,0.8974025115664244,2.449438202247191
wine,178,13,pai,6,10,0.42471910112359545,0.8968331892826275,2.449438202247191
wine,178,13,pai,6,20,0.5320224719101123,0.8905656065511331,2.449438202247191
wine,178,13,pai,6,30,0.6073033707865169,0.8886481520740583,2.449438202247191
wine,178,13,pai,6,50,0.681685393258427,0.8808462592491093,2.449438202247191
wine,178,13,pai,7,3,0.3389513108614232,0.9391764629473274,2.449438202247191
wine,178,13,pai,7,5,0.38314606741573043,0.9324454725710509,2.449438202247191
wine,178,13,pai,7,10,0.5044943820224718,0.9270527225583405,2.449438202247191
wine,178,13,pai,7,20,0.6019662921348314,0.9157627118644067,2.449438202247191
wine,178,13,pai,7,30,0.6627340823970037,0.913249947000212,2.449438202247191
wine,178,13,pai,7,50,0.7230337078651686,0.9086686763496848,2.449438202247191
wine,178,13,pai,8,3,0.4194756554307116,0.9726353618670304,2.449438202247191
wine,178,13,pai,8,5,0.5000000000000001,0.96694646397885,2.449438202247191
wine,178,13,pai,8,10,0.6202247191011236,0.9638928262748487,2.449438202247191
wine,178,13,pai,8,20,0.7103932584269663,0.9607922300514188,2.449438202247191
wine,178,13,pai,8,30,0.7552434456928839,0.9582658469366122,2.449438202247191
wine,178,13,pai,8,50,0.7885393258426967,0.9489690326116744,2.449438202247191
wine,178,13,pai,9,3,0.49625468164794007,0.9843908986599121,2.449438202247191
wine,178,13,pai,9,5,0.5764044943820225,0.9851751487111698,2.449438202247191
wine,178,13,pai,9,10,0.6859550561797753,0.9823681936041486,2.449438202247191
wine,178,13,pai,9,20,0.7699438202247192,0.9794210626547324,2.449438202247191
wine,178,13,pai,9,30,0.8149812734082399,0.9778644618754858,2.449438202247191
wine,178,13,pai,9,50,0.8415730337078652,0.9739073718827076,2.449438202247191
wine,178,13,pai,10,3,0.5337078651685393,0.98560325604555,2.449438202247191
wine,178,13,pai,10,5,0.6314606741573032,0.985941837409121,2.449438202247191
wine,178,13,pai,10,10,0.7280898876404496,0.9858910976663786,2.449438202247191
wine,178,13,pai,10,20,0.8028089887640449,0.9857322414778138,2.449438202247191
wine,178,13,pai,10,30,0.852996254681648,0.9854088050314466,2.449438202247191
wine,178,13,pai,10,50,0.8805617977528091,0.9830342559605372,2.449438202247191
wine,178,13,pai,11,3,0.6797752808988764,0.9947500595354073,2.449438202247191
wine,178,13,pai,11,5,0.746067415730337,0.9943688037012558,2.449438202247191
wine,178,13,pai,11,10,0.8179775280898878,0.993362143474503,2.449438202247191
wine,178,13,pai,11,20,0.8716292134831461,0.9920567510950296,2.449438202247191
wine,178,13,pai,11,30,0.8979400749063671,0.9922111511553954,2.449438202247191
wine,178,13,pai,11,50,0.9189887640449438,0.9898953137845985,2.449438202247191
wine,178,13,pai,12,3,0.8707865168539326,0.9992747504925202,2.449438202247191
wine,178,13,pai,12,5,0.9089887640449439,0.9993654990085922,2.449438202247191
wine,178,13,pai,12,10,0.9353932584269663,0.998924805531547,2.449438202247191
wine,178,13,pai,12,20,0.9474719101123594,0.9986002666158826,2.449438202247191
wine,178,13,pai,12,30,0.9563670411985019,0.9982997668009328,2.449438202247191
wine,178,13,pai,12,50,0.9625842696629213,0.9974020279528638,2.449438202247191
wine,178,13,pai,13,3,1.0,1.0,2.449438202247191
wine,178,13,pai,13,5,1.0,1.0,2.449438202247191
wine,178,13,pai,13,10,1.0,1.0,2.449438202247191
wine,178,13,pai,13,20,1.0,1.0,2.449438202247191
wine,178,13,pai,13,30,1.0,1.0,2.449438202247191
wine,178,13,pai,13,50,1.0,1.0,2.449438202247191
wine,178,13,nrs,1,3,0.059925093632958795,0.6766361412396354,2.449438202247191
wine,178,13,nrs,1,5,0.09213483146067415,0.6757303370786516,2.449438202247191
wine,178,13,nrs,1,10,0.14606741573033707,0.6882489196197061,2.449438202247191
wine,178,13,nrs,1,20,0.24859550561797752,0.7013825937916587,2.449438202247191
wine,178,13,nrs,1,30,0.34962546816479395,0.7159706027842556,2.449438202247191
wine,178,13,nrs,1,50,0.4980898876404494,0.7207355439846533,2.449438202247191
wine,178,13,nrs,2,3,0.09925093632958801,0.7428611634301054,2.449438202247191
wine,178,13,nrs,2,5,0.10674157303370786,0.7433046926635822,2.449438202247191
wine,178,13,nrs,2,10,0.18595505617977529,0.7482973206568713,2.449438202247191
wine,178,13,nrs,2,20,0.31741573033707865,0.7689906684441059,2.449438202247191
wine,178,13,nrs,2,30,0.4234082397003745,0.7769090523637906,2.449438202247191
wine,178,13,nrs,2,50,0.5641573033707865,0.7771082488352974,2.449438202247191
wine,178,13,nrs,3,3,0.11048689138576778,0.8421229243792081,2.449438202247191
wine,178,13,nrs,3,5,0.1550561797752809,0.844943820224719,2.449438202247191
wine,178,13,nrs,3,10,0.2707865168539326,0.8584753673293,2.449438202247191
wine,178,13,nrs,3,20,0.43033707865168536,0.8716111216911064,2.449438202247191
wine,178,13,nrs,3,30,0.5410112359550561,0.8805299978800085,2.449438202247191
wine,178,13,nrs,3,50,0.6989887640449438,0.8904214853384489,2.449438202247191
wine,178,13,nrs,4,3,0.1591760299625468,0.884652854452166,2.449438202247191
wine,178,13,nrs,4,5,0.2101123595505618,0.8824454725710509,2.449438202247191
wine,178,13,nrs,4,10,0.3207865168539326,0.8846153846153846,2.449438202247191
wine,178,13,nrs,4,20,0.4730337078651686,0.8926509236335936,2.449438202247191
wine,178,13,nrs,4,30,0.5799625468164794,0.8979393682425271,2.449438202247191
wine,178,13,nrs,4,50,0.7106741573033708,0.8996985475472732,2.449438202247191
wine,178,13,nrs,5,3,0.15917602996254682,0.8958996341278604,2.449438202247191
wine,178,13,nrs,5,5,0.2269662921348315,0.8986979510905486,2.449438202247191
wine,178,13,nrs,5,10,0.3595505617977528,0.8994053586862576,2.449438202247191
wine,178,13,nrs,5,20,0.5073033707865169,0.9098552656636831,2.449438202247191
wine,178,13,nrs,5,30,0.6181647940074906,0.9200155466044803,2.449438202247191
wine,178,13,nrs,5,50,0.7419101123595506,0.9223151548369416,2.449438202247191
wine,178,13,nrs,6,3,0.15917602996254682,0.905295403866554,2.449438202247191
wine,178,13,nrs,6,5,0.2404494382022472,0.9001784534038334,2.449438202247191
wine,178,13,nrs,6,10,0.37359550561797755,0.9047847882454624,2.449438202247191
wine,178,13,nrs,6,20,0.5213483146067417,0.9149533422205294,2.449438202247191
wine,178,13,nrs,6,30,0.6316479400749064,0.9235050526464561,2.449438202247191
wine,178,13,nrs,6,50,0.7604494382022471,0.9292452726774458,2.449438202247191
wine,178,13,nrs,7,3,0.17415730337078653,0.9061613734277241,2.449438202247191
wine,178,13,nrs,7,5,0.253932584269663,0.9044547257105089,2.449438202247191
wine,178,13,nrs,7,10,0.3870786516853933,0.9086015557476231,2.449438202247191
wine,178,13,nrs,7,20,0.5362359550561798,0.9183069891449248,2.449438202247191
wine,178,13,nrs,7,30,0.6432584269662921,0.9257734435728924,2.449438202247191
