dataset,n,d,n_resample,seed,method,attribute_j,importance_score,pai_bound,n_pts_dgm_H0,n_pts_dgm_H1,thresh,maxdim,time_method_sec
wine,178,13,142,0,mutual_info,12,0.5472144549852442,-1.0,-1,-1,2.0,1,0.009589250000000327
wine,178,13,142,0,variance,0,0.985601217952927,-1.0,-1,-1,2.0,1,1.629200000063946e-05
wine,178,13,142,0,variance,1,1.0308540864720908,-1.0,-1,-1,2.0,1,1.629200000063946e-05
wine,178,13,142,0,variance,2,0.9811242655255406,-1.0,-1,-1,2.0,1,1.629200000063946e-05
wine,178,13,142,0,variance,3,0.92062920695787,-1.0,-1,-1,2.0,1,1.629200000063946e-05
wine,178,13,142,0,variance,4,1.0519198627745152,-1.0,-1,-1,2.0,1,1.629200000063946e-05
wine,178,13,142,0,variance,5,1.0485350021918851,-1.0,-1,-1,2.0,1,1.629200000063946e-05
wine,178,13,142,0,variance,6,1.0341261306272902,-1.0,-1,-1,2.0,1,1.629200000063946e-05
wine,178,13,142,0,variance,7,1.018809199986087,-1.0,-1,-1,2.0,1,1.629200000063946e-05
wine,178,13,142,0,variance,8,1.0637056843324901,-1.0,-1,-1,2.0,1,1.629200000063946e-05
wine,178,13,142,0,variance,9,0.9461815308923356,-1.0,-1,-1,2.0,1,1.629200000063946e-05
wine,178,13,142,0,variance,10,0.9157734588981259,-1.0,-1,-1,2.0,1,1.629200000063946e-05
